"location","seagrassnet_sitecode","transect","quadrat","species","date_sampling","month","day","year","time","percent_cover","prior_yr_mean_daily_mean_temp","prior_yr_min_daily_mean_temp","prior_yr_max_daily_mean_temp","prior_yr_q1_daily_mean_temp","prior_yr_q3_daily_mean_temp","period_avg_mean_daily_mean_temp"
"Duck Harbor Beach","MA20.1","A",1,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2004-08-01,8,1,2004,"05:30:00",90,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2004-08-01,8,1,2004,"05:30:00",85,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2004-08-01,8,1,2004,"05:30:00",80,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2004-08-01,8,1,2004,"05:30:00",5,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2004-08-01,8,1,2004,"05:30:00",100,20.7112162162162,10.04,24.4,20.3925,22.4375,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2005-08-21,8,21,2005,"06:30:00",90,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2005-08-21,8,21,2005,"06:30:00",85,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2005-08-21,8,21,2005,"06:30:00",30,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2005-08-21,8,21,2005,"06:30:00",100,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2005-08-21,8,21,2005,"06:30:00",25,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2005-08-21,8,21,2005,"06:30:00",75,19.7519565217391,12.71,23.75,18.085,21.8525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2006-07-14,7,14,2006,"09:00:00",100,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2006-07-14,7,14,2006,"09:00:00",80,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2006-07-14,7,14,2006,"09:00:00",100,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2006-07-14,7,14,2006,"09:00:00",100,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2006-07-14,7,14,2006,"09:00:00",80,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2006-07-14,7,14,2006,"09:00:00",100,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2006-07-14,7,14,2006,"09:00:00",85,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2006-07-14,7,14,2006,"09:00:00",80,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2006-07-14,7,14,2006,"09:00:00",65,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2006-07-14,7,14,2006,"09:00:00",95,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2006-07-14,7,14,2006,"09:00:00",20,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2006-07-14,7,14,2006,"09:00:00",15,20.44,11.78,25.81,18.5225,22.8425,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2007-08-02,8,2,2007,"08:00:00",90,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2007-08-02,8,2,2007,"08:00:00",100,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2007-08-02,8,2,2007,"08:00:00",100,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2007-08-02,8,2,2007,"08:00:00",100,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2007-08-02,8,2,2007,"08:00:00",100,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2007-08-02,8,2,2007,"08:00:00",95,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2007-08-02,8,2,2007,"08:00:00",50,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2007-08-02,8,2,2007,"08:00:00",65,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2007-08-02,8,2,2007,"08:00:00",0,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2007-08-02,8,2,2007,"08:00:00",60,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2007-08-02,8,2,2007,"08:00:00",0,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2007-08-02,8,2,2007,"08:00:00",15,20.904347826087,11.63,25.69,19.575,22.595,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2008-08-02,8,2,2008,"05:30:00",100,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2008-08-02,8,2,2008,"05:30:00",100,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2008-08-02,8,2,2008,"05:30:00",100,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2008-08-02,8,2,2008,"05:30:00",100,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2008-08-02,8,2,2008,"05:30:00",100,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2008-08-02,8,2,2008,"05:30:00",15,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2008-08-02,8,2,2008,"05:30:00",1,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2008-08-02,8,2,2008,"05:30:00",10,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2008-08-02,8,2,2008,"05:30:00",0,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2008-08-02,8,2,2008,"05:30:00",0,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2008-08-02,8,2,2008,"05:30:00",0,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2008-08-02,8,2,2008,"05:30:00",25,20.0870652173913,10.25,24.51,18.8,22.2125,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2009-07-23,7,23,2009,"06:00:00",100,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2009-07-23,7,23,2009,"06:00:00",90,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2009-07-23,7,23,2009,"06:00:00",95,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2009-07-23,7,23,2009,"06:00:00",100,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2009-07-23,7,23,2009,"06:00:00",40,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2009-07-23,7,23,2009,"06:00:00",20,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2009-07-23,7,23,2009,"06:00:00",1,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2009-07-23,7,23,2009,"06:00:00",0,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2009-07-23,7,23,2009,"06:00:00",0,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2009-07-23,7,23,2009,"06:00:00",0,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2009-07-23,7,23,2009,"06:00:00",0,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2009-07-23,7,23,2009,"06:00:00",75,21.145652173913,11.8,24.76,19.925,22.575,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2010-07-14,7,14,2010,"06:45:00",0,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2010-07-14,7,14,2010,"06:45:00",0,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2010-07-14,7,14,2010,"06:45:00",0,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2010-07-14,7,14,2010,"06:45:00",10,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2010-07-14,7,14,2010,"06:45:00",60,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2010-07-14,7,14,2010,"06:45:00",60,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2010-07-14,7,14,2010,"06:45:00",15,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2010-07-14,7,14,2010,"06:45:00",25,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2010-07-14,7,14,2010,"06:45:00",0,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2010-07-14,7,14,2010,"06:45:00",0,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2010-07-14,7,14,2010,"06:45:00",5,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2010-07-14,7,14,2010,"06:45:00",90,19.6722826086957,10.17,25.41,16.505,22.5625,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2011-08-02,8,2,2011,"07:00:00",2,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2011-08-02,8,2,2011,"07:00:00",10,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2011-08-02,8,2,2011,"07:00:00",1,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2011-08-02,8,2,2011,"07:00:00",1,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2011-08-02,8,2,2011,"07:00:00",1,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2011-08-02,8,2,2011,"07:00:00",70,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2011-08-02,8,2,2011,"07:00:00",90,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2011-08-02,8,2,2011,"07:00:00",70,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2011-08-02,8,2,2011,"07:00:00",0,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2011-08-02,8,2,2011,"07:00:00",0,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2011-08-02,8,2,2011,"07:00:00",50,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2011-08-02,8,2,2011,"07:00:00",100,20.9744565217391,10.51,25.1,18.89,23.3775,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2012-07-04,7,4,2012,"05:15:00",60,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2012-07-04,7,4,2012,"05:15:00",75,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2012-07-04,7,4,2012,"05:15:00",40,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2012-07-04,7,4,2012,"05:15:00",25,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2012-07-04,7,4,2012,"05:15:00",30,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2012-07-04,7,4,2012,"05:15:00",40,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2012-07-04,7,4,2012,"05:15:00",60,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2012-07-04,7,4,2012,"05:15:00",55,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2012-07-04,7,4,2012,"05:15:00",0,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2012-07-04,7,4,2012,"05:15:00",0,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2012-07-04,7,4,2012,"05:15:00",45,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2012-07-04,7,4,2012,"05:15:00",55,20.7378260869565,12.31,25.05,18.8675,22.7225,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2013-07-23,7,23,2013,"05:30:00",80,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2013-07-23,7,23,2013,"05:30:00",1,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2013-07-23,7,23,2013,"05:30:00",3,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2013-07-23,7,23,2013,"05:30:00",0,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2013-07-23,7,23,2013,"05:30:00",75,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2013-07-23,7,23,2013,"05:30:00",1,21.4571739130435,9.9,26.07,19.9675,24.035,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2014-07-14,7,14,2014,"06:00:00",1,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2014-07-14,7,14,2014,"06:00:00",0,21.3388043478261,12.62,26.82,18.3375,23.525,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2015-08-02,8,2,2015,"06:30:00",1,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2015-08-02,8,2,2015,"06:30:00",1,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2015-08-02,8,2,2015,"06:30:00",0,20.1967391304348,13.1,24.28,19.3025,21.7675,20.7292723093938
"Duck Harbor Beach","MA20.1","A",1,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2016-07-04,7,4,2016,"05:30:00",1,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2016-07-04,7,4,2016,"05:30:00",1,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2016-07-04,7,4,2016,"05:30:00",1,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2016-07-04,7,4,2016,"05:30:00",0,20.5989130434783,7.21,26.13,18.335,23.47,20.7292723093938
